NDB_No;Shrt_Desc;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Iron_(mg);Cholestrl_(mg)
23304;BEEF,AU,IMP,WGU,TDLN STK/RST,BNLES,LN & FAT, MRB SCR 4/5,RAW;652;206;1971;1409;0;0;0;22;60
23323;BEEF,AU,IMP,WGU,TNLN, STK/RST,BNLESS,LN & FAT, MRB SCR 9,RAW;609;248;185;1911;58;0;0;237;74
23308;BEEF,AUS,IMP,GRSS-FD,BTTM RND STK/RST,BNLESS,LN,RAW;7331;130;214;493;0;0;0;211;54
23316;BEEF,AUS,IMP,GRSS-FD,RBEYE STK/RST LIP-ON,BNLESS,LN&FAT,RAW;646;217;198;1521;11;0;0;174;52
23309;BEEF,AUS,IMP,GRSS-FD,RD,TP RND CAP-OFF STK/RST,BNLESS,LN,RAW;7305;129;2241;443;0;0;0;23;48
23307;BEEF,AUS,IMP,GRSS-FD,RIBEYE STK/RST LIP-ON,BNLESS,LN,RAW;7009;160;2147;82;0;0;0;188;50
23306;BEEF,AUS,IMP,GRSS-FD,TOP SIRLN CP-OFF STK/RST,BNLESS,LN,RAW;741;122;219;387;0;0;0;253;54
23318;BEEF,AUS,IMP,GRSS-FD,TP RNDCAP-OFF STK/RST,BNLESS,LN&FAT,RAW;7252;129;2224;44;0;0;0;228;47
23315;BEEF,AUS,IMP,GRSS-FD,TP SIRLN CP-OFFSTK/RST,BNLES,LN&FAT,RAW;7365;127;2177;445;1;0;0;251;55
23305;BEEF,AUS,IMP,GRSS-FED, TOP LOIN STK/RST,BNLESS,LN FAT,RAW;6642;199;199;1317;11;0;0;146;46
23317;BEEF,AUS,IMP,GRSS-FED,BTTM RND STK/RST,BNLESS,LN&FAT,RAW;7233;140;2113;616;1;0;0;208;55
23294;BEEF,AUS,IMP,GRSS-FED,LOIN,TENDERLN STK/RST,BNLESS,RAW;7242;138;2085;611;0;0;0;225;49
23302;BEEF,AUS,IMP,GRSS-FED,TNDERLN STK/RST,BNLESS,LN&FAT,RAW;7121;151;2053;763;1;0;0;221;50
23303;BEEF,AUS,IMP,GRSS-FED,TOP LOIN STK/RST,BNLESS,LN,RAW;7295;131;2179;487;0;0;0;157;41
23298;BEEF,AUS,IMP,WAGYU,EXTERNAL FAT,AUST. MARBLE SCORE 4/5,RAW;3025;596;654;6327;0;0;0;1;73
23310;BEEF,AUS,IMP,WGU,LOIN,TENLN STK/RST,BNLESS,LN, MRB SCR 9,RAW;6191;237;1887;1773;57;0;0;241;74
23314;BEEF,AUS,IMP,WGU,SML END RIB STK/RST,BNLESS,MRB SCR 9,RAW;5258;330;1761;2861;46;0;0;214;77
23321;BEEF,AUS,IMP,WGU,SMLEDRIB STK/RST,BNLES,LN&FAT,MRBSCR4/5,RAW;5463;317;1707;2764;0;0;0;168;76
